title_clean,description_clean,content_clean,sentiment,label
I started taking Solidcore fitness classes to relieve work stress. Now I'm the CEO here's a day in my life.,"Solidcore's CEO Bryan Myers discusses his transition from consulting to leadership and his strategies for growth, inclusivity, and community building.","This astoldto essay is based on a conversation with Bryan Myers, the president and CEO of fitness company Solidcore, who lives in Washington, DC. The following has been edited for length and clarit 8334 chars",positive,2
Apple admits the Q2 surge in imports won't be enough to stop price hikes,"Apple may have been able to mitigate against Trump's tariffs before their full extent was announced, but the company's latest SEC filing reveals that this was only a shortterm tactic, and price hikes may be inevitable.Apple CEO Tim CookApple has projected th","Apple may have been able to mitigate against Trump's tariffs before their full extent was announced, but the company's latest SEC filing reveals that this was only a shortterm tactic, and price hike 3492 chars",negative,0
Biggest Chicken Pot Pie Recalls In The US,Chicken pot pie has been a grocery store staple for decades but it's not been immune to recalls. These recalls impacted shoppers and brands in a big way.,"Chicken pot pie is often a comforting dinnertime staple warm, savory, and satisfying, whether served fresh or pulled from the freezer. With roots tracing back to ancient Rome, this creamy, vegetable 10164 chars",negative,0
Steve Albinis Closet Is Now a Weekly Digital Estate Sale,"Hundreds of items will be released each Friday, including rare vinyl, weird books, and more of the late musicians belongings","Not only was the late Steve Albini a legendary recording engineer, musician, and poker player, he was also a longtime collector of underground memorabilia. Now, thousands of his belongingsrare vinyl, 2262 chars",neutral,1
British ICC chief prosecutor lost access to email and has bank accounts frozen,"The International Criminal Court's chief prosecutor, British barrister Karim Khan, has lost access to his email and his bank accounts have been frozen since Donald Trump slapped sanctions on him in February.","15 May 2025, 1339 International Criminal Court ICC Prosecutor Karim Khan. Picture Getty By Josef Al Shemary The International Criminal Court's chief prosecutor, British barrister Karim Khan 4366 chars",neutral,1
McMaster study links ultraprocessed food to range of health risks and calls for more affordable whole foods,"Researchers found that consumption of ultraprocessed foods was linked with correlating levels of high blood pressure and cholesterol, and was not affected by an individual's age, size and level of activity.","New research out of McMaster University in Ontario has directly linked consumption of ultraprocessed foods a category that includes not just traditional junk foods, but items marketed as healthy as 5203 chars",neutral,1
Inflation cools. What the CPI report says about the economy,"Inflation cooled more than expected last month, with consumer prices rising 2.3 yearoveryear in April, down from a 2.4 annual rate in March.Read more...","Inflation cooled more than expected last month, with consumer prices rising 2.3 yearoveryear in April, down from a 2.4 annual rate in March. The April Consumer Price Index CPI report, released 2203 chars",negative,0
Osem to raise prices on key products,Osem informs retailers of price hikes of up to 9 part of a growing trend following recent increases by Strauss and Unilever.,"Osem, one of Israels largest food companies, announced Thursday morning that it will raise the prices of several key products. The price hikes will take effect in the coming days. Among the items se 737 chars",positive,2
Expect to Pay More for These Groceries Because of Tariffs,We asked an an expert about which groceries will become more expensive or hard to find as a result of President Trump's tariffs and ongoing trade war.,"The scope of President Donald Trump's trade war changes by the day. Beyond sending the stock market into disarray and crushing consumer confidence back to 1980s levels, the tariffs are expected to in 6090 chars",negative,0
Celebrate ten years of The Witcher 3 by finally reading the books,"The Witcher 3 Wild Hunt celebrated ten years of monster slaying on May 19, and publisher CD Projekt honored the milestone with an anniversary stream starring Geralt voice actor Doug Cockle, a stunning new trailer, and The Witcher 3 price drops across platfor","The Witcher 3 Wild Hunt celebrated ten years of monster slaying on May 19, and publisher CD Projekt honored the milestone with an anniversary stream starring Geralt voice actor Doug Cockle, a stunni 3548 chars",negative,0
Inflation cools. What the CPI report says about the economy,"Inflation cooled more than expected last month, with consumer prices rising 2.3 yearoveryear in April, down from a 2.4 annual rate in March.Read more...","Inflation cooled more than expected last month, with consumer prices rising 2.3 yearoveryear in April, down from a 2.4 annual rate in March. The April Consumer Price Index CPI report, released 2203 chars",negative,0
Americans are feeling stuck in their jobs and it's about to get even worse,"Thanks to Trump's tariffs, some of your coworkers may soon be grouchier than ever.","In 2023, Kathleen, a sales manager at a software company, was given terrible news at work She had to lay off her entire team. Her own job was spared, but surviving the bloodbath didn't leave her fee 6945 chars",negative,0
Tariffs are coming for Gen Z,"Thanks to Trump's trade war, the stuff young Americans love is about to get more expensive or disappear entirely","If you're an American who buys things or sells things, you're going to take a financial hit from President Donald Trump's tariffs . The science of economics might be dismal, but it's good enough to 10260 chars",neutral,1
Lawmakers demand answers after a Haitian woman dies at an ICE detention center,"ICE says it is investigating the cause of death of 44yearold Marie Ange Blaise in a Florida detention center on Friday. A local congresswoman says Blaise had complained of chest pains ""for hours.""","A woman from Haiti died after spending over two months in U.S. Immigration and Customs Enforcement ICE custody, the agency announced on Tuesday. Marie Ange Blaise, 44, was pronounced dead on Frida 3754 chars",neutral,1
Inflation cools in April but tariffs could upend the picture in coming months,"Consumer prices in April were up 2.3 from a year ago, the smallest annual increase in more than four years. Grocery prices fell 0.4, thanks to a large drop in the price of eggs.",Inflation eased last month as shoppers got a break at both the grocery store and the gas station. Cost of living figures released by the Labor Department Tuesday show consumer prices in April were 1091 chars,positive,2
"The Kindle Colorsoft, Amazons first color ereader, is 55 off","Built with E Inks color display technology, the Kindle Colorsoft Signature Edition brings comics, magazines, childrens books, and illustrated novels to life in a way a regular Kindle cant. And right now, you can buy the companys first color ereader at Am","The Colorsoft is a far better value at this price, especially if you own a lot of Kindle books. The Colorsoft is a far better value at this price, especially if you own a lot of Kindle books. Bui 1349 chars",neutral,1
Trump says egg prices are falling. Some experts say the claim is misleading.,"Consumer egg prices have climbed 25 since January, data shows.","President Donald Trump this week disputed criticism over high egg prices in an exclusive interview with ABC News, faulting his predecessor for the price hike and claiming what he described as a recen 4656 chars",neutral,1
Can NAD Plus Supplements Really Reverse the Aging Process? We Asked a Doctor to Find Out,"These antiaging supplements are gaining popularity, but you should know their benefits, side effects and risk factors before taking them.","You may have heard of NAD plus supplements on social media recently. They're currently seeing a rise in popularity thanks to claims that they can ""reverse"" the aging process. But how true is that? N 9512 chars",neutral,1
Florida Environmentalists Sound Alarm on SpaceX Bid to Launch 120 Rockets a Year,"Local advocacy groups argue the ambitious launch schedule could increase pollution, harm wildlife, and disrupt fishing.","Elon Musks SpaceX launched its 475th Falcon 9 rocket from Cape Canaveral, Florida, on Wednesday, delivering yet another batch of Starlink satellites to space. This workhorse is far and away the most 4534 chars",positive,2
"This Job Pays 120K, No Degree, With 64 Increase In Demand Thru 2035","A significant employment gap has emerged in the white collar job market, with great growth prospects and an impressive paycheck. Could this job be a fit for you?","This job focuses on getting things done. getty A significant employment gap has emerged in the white collar job market, and job seekers are taking notice. This role includes great growth prospects 3685 chars",positive,2
BLS CPI Increased 0.2 in April Core CPI increased 0.2,"From the BLS The Consumer Price Index for All Urban Consumers CPIU increased 0.2 percent on a seasonally adjusted basis in April, aft...","From the BLS The Consumer Price Index for All Urban Consumers CPIU increased 0.2 percent on a seasonally adjusted basis in April, after falling 0.1 percent in March, the U.S. Bureau of Labor Sta 1578 chars",positive,2
"Joe Biden's prostate cancer diagnosis. And, Kentucky residents react to deadly storm","Former President Joe Biden has been diagnosed with prostate cancer as renewed interest focuses on his decline while in office. And, over two dozen people died over the weekend due to powerful storms.","Good morning. You're reading the Up First newsletter. Subscribe here to get it delivered to your inbox, and listen to the Up First podcast for all the news you need to start your day. Today's top st 5721 chars",negative,0
Gateway Books The lessons of a defunct canon,"It has to start somewhere, this business of being an intellectual. Chances are, it doesnt start well.","For Bob Cox It has to start somewhere, this business of being an intellectual. Chances are, it doesnt start well. Your early efforts are bound be misdirected, a source of subsequent embarrassment. M 32218 chars",neutral,1
Inflation ticked slightly higher in April as tariff impact looms,The Bureau of Labor Statistics' latest consumer price index report showed that inflation ticked slightly higher in April as tariffs begin to have an economic...,Inflation rose slightly in April and remained above the Federal Reserve's target rate as the economic impact of higher tariffs is expected to impact consumer prices in the coming months. The Bureau 4862 chars,negative,0
Is This the WorstEver Era of American Pop Culture?,Meet the critics who believe the arts are in terminal decline.,"Illustrations by Javier JanLast year, I visited the music historian Ted Gioia to talk about the death of civilization.He welcomed me into his suburbanTexas home and showed me to a sunlit library. A 47459 chars",negative,0
James Webb Space Telescope discovers an alien planetary system's icy edge,The presence of waterice in the debris disk around a young star could have helped facilitate the growth and development of exoplanets.,"At long last, particles of waterice have been discovered in the frozen Kuiper Belt of another star. The discovery, made by the James Webb Space Telescope, is a major step forward in filling in gaps 7026 chars",positive,2
Amazon Adds Purchase Button To iOS Kindle App Following App Store Rule Changes,"Amazon has updated its Kindle iOS app with a new ""Get Book"" button that redirects users to complete purchases through their mobile browser, taking advantage of recent App Store rule changes. The update follows Judge Yvonne Gonzalez Rogers' April 30th ruling i","Amazon has updated its Kindle iOS app with a new ""Get Book"" button that redirects users to complete purchases through their mobile browser, taking advantage of recent App Store rule changes. The upda 517 chars",neutral,1
Trump says petrol and grocery prices are down. Facts say otherwise,The US president incorrectly said that prices of petrol and eggs had dropped while home sales were good.,"US President Donald Trump said that housing, petrol, and grocery prices are declining. However, current data do not fully support any of these claims. In the Oval Office on Thursday, the president, 2733 chars",negative,0
The Big Four have a partner problem and they're losing talent,"Partnership at the Big Four has become ""a club that you can't get into anymore,"" a former PwC partner told BI.","Big Four partner numbers have dropped in recent years, and some see it as a less attractive option.Ezra BaileyGetty Images Being a partner at Big Four firms is becoming less lucrative and h 6310 chars",neutral,1
Study Uncovers the One Thing That Cuts Through Climate Apathy Loss,"In a field of muddy results, it's among the clearest findings that one cognitive scientist has seen in his career.","For much of the 20th century, winter brought an annual ritual to Princeton, New Jersey. Lake Carnegie froze solid, and skaters flocked to its glossy surface. These days, the ice is rarely thick enoug 6622 chars",neutral,1
"It's So Over, We're So Back Doomer Techno Optimism","Prophets and their warnings arise in times of peril, and the arrival of the doomer technooptimist discourse is fortunate. Simply put, we needed the wakeup call. Yet, if the first step to fixing a problem is admitting you have one, then the second step is ac","REVIEW ESSAYBoom Bubbles and the End of Stagnationby Byrne Hobart and Tobias HuberStripe Press, 2024, 304 pages The New Lunar SocietyAn Enlightenment Guide to the Next Industrial Revolutionby Davi 45195 chars",neutral,1
Trumps Tariffs Are Threatening Americas Apple Juice Supply Chain,"Most of the apple juice Americans drink is imported, with a large share coming from China. Experts say families should expect to start paying higher prices for the beloved beverage.","Few foods are more American than apple pie, but the truth is, some of the countrys favorite apple products arent actually made in the United States. Apple juice, a perennial lunchroom staple, is a pr 2760 chars",neutral,1
BMW M4 Edition Nrburgring Celebrates The Green Hell,"Theres certainly no shortage of special M4s, but this one is exclusively for China. Unveiled today at Auto Shanghai 2025, the M4 Edition Nrburgring commemorates over a quartercentury of BMW Ms official partnership with the... First published by","Theres certainly no shortage of special M4s, but this one is exclusively for China. Unveiled today at Auto Shanghai 2025, the M4 Edition Nrburgring commemorates over a quartercentury of BMW Ms offi 1743 chars",negative,0
Three Stocks That May Be Trading Below Their Estimated Value,"The United States market has shown positive momentum, with a 1.3 increase over the last week and an 8.2 rise over the past year, while earnings are...","The United States market has shown positive momentum, with a 1.3 increase over the last week and an 8.2 rise over the past year, while earnings are expected to grow by 14 annually. In this environ 5667 chars",positive,2
"Robot chefs take over at South Korea's highway restaurants, to mixed reviews","Automation is posed as a labor shortage solution, but workers say robots are making their jobs and food worse.","On sweltering summer days, chef Park Jeongeun would cook makguksu, an earthy Korean dish made with buckwheat noodles steeped in a tangy, icecold broth, topped with spicy gochujang paste. Truck driv 9567 chars",negative,0
The best Mothers Day gifts you can still grab,"Running out of time but still want to impress Mom this Mothers Day? Dont panic theres still time to grab a gift that ships fast and wont scream lastminute. Whether youre after something to make her life easier or something to help her unwind, weve","Believe it or not, many of our favorite gadgets and gifts are not only on sale theyll also arrive in time for the holiday. Believe it or not, many of our favorite gadgets and gifts are not only on s 5788 chars",neutral,1
What Casey Means and MAHA Want You to Fear,"Amid the destruction of America's publichealth systems, Donald Trumps Surgeon General nominee, Casey Means, believes that your wellness is yours alone to defend. Jessica Winter reports.","If you close your eyes and imagine an upfromthebootstraps embodiment of boomer triumphalismthe ambitious young technocrat of a systems novel by Don DeLillo or Thomas Pynchon, sprinting toward his 15264 chars",positive,2
The Weekend Interest rate cuts and trade deals lift the mood,"Key moments from the last seven days, plus a glimpse at the week ahead","Behold the heatwave! The temperatures, after dipping into the teens and even lower with cloud cover to boot are rising again amid the promise of more sunshine this weekend. Past that weather report, 9357 chars",neutral,1
"Joe Biden's prostate cancer diagnosis. And, Kentucky residents react to deadly storm","Former President Joe Biden has been diagnosed with prostate cancer as renewed interest focuses on his decline while in office. And, over two dozen people died over the weekend due to powerful storms.","Good morning. You're reading the Up First newsletter. Subscribe here to get it delivered to your inbox, and listen to the Up First podcast for all the news you need to start your day. Today's top st 5721 chars",negative,0
This week proves Nigel Farage's PM ambition is not a wild notion,"The next General Election is miles away and parties can surge and sink, but this week's results show Farage has changed the race, writes Laura Kuenssberg.","In the first week of 2025, Nigel Farage told me his ultimate goal was to become prime minister. It stuck in my mind that he chose to add ""I'm not joking."" Nobody in the two traditional main parties 6767 chars",positive,2
"Understanding Vitamin E Health Benefits, Drawbacks and How to Get Your Daily Dose","If you have a vitamin E deficiency and want to add more to your diet or take supplements, here's what you need to know.","If you've paid attention to the composition labels of skincare products, you might have noticed that a lot of them contain vitamin E. Vitamin E can help protect your skin from UV damage when used top 6444 chars",neutral,1
Expect to Pay More for These Groceries Because of Tariffs,We asked an an expert about which groceries will become more expensive or hard to find as a result of President Trump's tariffs and ongoing trade war.,"The scope of President Donald Trump's trade war changes by the day. Beyond sending the stock market into disarray and crushing consumer confidence back to 1980s levels, the tariffs are expected to in 6090 chars",negative,0
Is This the WorstEver Era of American Pop Culture?,Meet the critics who believe the arts are in terminal decline.,"Illustrations by Javier JanLast year, I visited the music historian Ted Gioia to talk about the death of civilization.He welcomed me into his suburbanTexas home and showed me to a sunlit library. A 47459 chars",negative,0
"This Job Pays 120K, No Degree, With 64 Increase In Demand Thru 2035","A significant employment gap has emerged in the white collar job market, with great growth prospects and an impressive paycheck. Could this job be a fit for you?","This job focuses on getting things done. getty A significant employment gap has emerged in the white collar job market, and job seekers are taking notice. This role includes great growth prospects 3685 chars",positive,2
Read the pitch deck an AI video startup behind viral baby podcast memes used to raise 32 million from A16z and others,"Hedra, a generative AI startup used by creators and marketers, shared the pitch deck it used to raise capital.","Michael Lingelbach is the founder and CEO of Hedra.Hedra Hedra, a generative AI platform, creates images, video, and audio, with a focus on characters.Hedra raised 32 million in Se 7614 chars",neutral,1
People on Ozempic start disliking meat and fried foods. We're starting to learn why.,"Some users of GLP1 weightloss drugs have been reporting strange changes in food preferences, such as a new dislike for meats or fried foods, and scientists...","When you buy through links on our articles, Future and its syndication partners may earn a commission. Credit rezart via Getty Images For most of her life, Alyssa Fraser took comfort in cooking. 9676 chars",negative,0
Apple admits the Q2 surge in imports won't be enough to stop price hikes,"Apple may have been able to mitigate against Trump's tariffs before their full extent was announced, but the company's latest SEC filing reveals that this was only a shortterm tactic, and price hikes may be inevitable.Apple CEO Tim CookApple has projected th","Apple may have been able to mitigate against Trump's tariffs before their full extent was announced, but the company's latest SEC filing reveals that this was only a shortterm tactic, and price hike 3492 chars",negative,0
Biggest Chicken Pot Pie Recalls In The US,Chicken pot pie has been a grocery store staple for decades but it's not been immune to recalls. These recalls impacted shoppers and brands in a big way.,"Chicken pot pie is often a comforting dinnertime staple warm, savory, and satisfying, whether served fresh or pulled from the freezer. With roots tracing back to ancient Rome, this creamy, vegetable 10164 chars",negative,0
Q1s 7.8B in game investments and MA marks largest quarter since 2023 DDM,"The game industrys motto for all of last year was ""survive til 2025."" And in some respects, that wasn't just wishful thinking.","The game industrys motto for all of last year was survive til 2025. And in some respects, that wasnt just wishful thinking. As the industry trudged through 2024, market researcher DDM saw positive 8032 chars",neutral,1
Is This the WorstEver Era of American Pop Culture?,Meet the critics who believe the arts are in terminal decline.,"Illustrations by Javier JanLast year, I visited the music historian Ted Gioia to talk about the death of civilization.He welcomed me into his suburbanTexas home and showed me to a sunlit library. A 47459 chars",negative,0
"A 29yearold became a new mom and months later, caregiver to her dad with Alzheimer's. She's part of the growing 'sandwich generation.'","Rachael PiltchLoeb learned her dad had Alzheimer's months after her son was born. She became part of the ""sandwich generation.""","Rachael PiltchLoeb's father showed symptoms of Alzheimer's shortly before her first son was born.Rachael PiltchLoeb Rachael PiltchLoeb, 35, noticed signs of cognitive decline in her fathe 6977 chars",neutral,1
5 Task Manager tips I wish Id known a lot sooner for Windows productivity,I wish I knew these Task Manager tips to be more productive and you can learn them too.,"When you need to manage system resources on Windows, Task Manager is likely the first utility you open. It was redesigned on Windows 11 and has more functionality, but these tips will work if you are 6027 chars",neutral,1
"This 149 Titanium Oven Tray Cooks Food Faster, More Evenly, and Will Last For 100 Years","This 149 Titanium Oven Tray Cooks Food Faster, More Evenly, and Will Last For 100 YearsTitaniums always had a bit of a mythos around it. Light enough for a jet, strong enough for surgery, expensive enough to make stainless steel...","Titaniums always had a bit of a mythos around it. Light enough for a jet, strong enough for surgery, expensive enough to make stainless steel look like a budget buy. Now picture that kind of overkill 5020 chars",positive,2
U.S. egg prices fall for the first time in months but remain near record highs,The average price for a dozen Grade A eggs declined to 5.12 last month after reaching a record 6.23 in March. It was the first monthtomonth drop in egg prices since October 2024.,"U.S. retail egg prices fell in April from the recordhigh prices they hit earlier this year, according to government data released Tuesday. The average price for a dozen Grade A eggs declined to 5. 2651 chars",negative,0
"Sonos Hates Discounts, But Amazon Doesnt Care and Clears Out Its Portable Speakers to a Record Low",Get one of the best portable Bluetooth speakers out there for significantly less money,Sonos is wellknown internationally for producing some of the best speakers on the market which are popular for their great sound quality and unique technology. Sonos speakers typically link via WiFi 2595 chars,neutral,1
Why youth mobility and fishing are key issues ahead of UKEU summit,"Youth mobility and fishing rights are key negotiating points between the UK and the EU as the prime minister attempts a postBrexit ""reset"".",Tom Edgington and Tamara Kovacevic The right of young people to move freely between the UK and EU has emerged as a key negotiating point along with fishing rights ahead of a summit in London whi 6477 chars,neutral,1
People on Ozempic start disliking meat and fried foods. We're starting to learn why.,"Some users of GLP1 weightloss drugs have been reporting strange changes in food preferences, such as a new dislike for meats or fried foods, and scientists...","When you buy through links on our articles, Future and its syndication partners may earn a commission. Credit rezart via Getty Images For most of her life, Alyssa Fraser took comfort in cooking. 9676 chars",negative,0
"For GenZers working in clean energy, DOGE's cuts mean finding creative career pivots","The upheaval in Washington, DC, has clouded Gen Zs career paths, particularly in the renewable energy industry as Trump slashes programs.","Aaron Yang, 22, took a voluntary buyout from the Energy Department.Aarron Yang GenZers working in clean energy are facing multiple career roadblocks.The Trump administration slashed 6735 chars",neutral,1
"Reading ""business"" books is a waste of time","""Business"" Books Are Cheap Entertainment, Not Strategic Tools","Most popular business books are written for emotional appeal, not intellectual rigor. They turn simplified stories into generic advice, convert rare successes into universal strategies, and replace 7486 chars",neutral,1
"This Job Pays 120K, No Degree, With 64 Increase In Demand Thru 2035","A significant employment gap has emerged in the white collar job market, with great growth prospects and an impressive paycheck. Could this job be a fit for you?","This job focuses on getting things done. getty A significant employment gap has emerged in the white collar job market, and job seekers are taking notice. This role includes great growth prospects 3685 chars",positive,2
Inflation cools. What the CPI report says about the economy,"Inflation cooled more than expected last month, with consumer prices rising 2.3 yearoveryear in April, down from a 2.4 annual rate in March.Read more...","Inflation cooled more than expected last month, with consumer prices rising 2.3 yearoveryear in April, down from a 2.4 annual rate in March. The April Consumer Price Index CPI report, released 2203 chars",negative,0
What Its Really Like to Start a Food Company as a Couple,"For most people, a pizza date looks something like choosing a cute restaurant or maybe panicking over what to wear. But when you're a professional chef, a pizza date is almost like a cooking class. At least according to Michelle Jimenez it was. And in case yo","For most people, a pizza date looks something like choosing a cute restaurant or maybe panicking over what to wear. But when you're a professional chef, a pizza date is almost like a cooking class. A 8772 chars",neutral,1
Inflation cools. What the CPI report says about the economy,"Inflation cooled more than expected last month, with consumer prices rising 2.3 yearoveryear in April, down from a 2.4 annual rate in March.Read more...","Inflation cooled more than expected last month, with consumer prices rising 2.3 yearoveryear in April, down from a 2.4 annual rate in March. The April Consumer Price Index CPI report, released 2203 chars",negative,0
Why Ozempic and Wegovy Might Change Your Favorite Food,"Some users of GLP1 weightloss drugs have been reporting strange changes in food preferences, such as a new dislike for meats or fried foods, and scientists are beginning to figure out why","For most of her life, Alyssa Fraser took comfort in cooking. Fraser, a former food reporter from Minnesota, used to relish the process of whipping up her favorite chicken and vegetable recipe or batc 9228 chars",negative,0
Trump says egg prices are falling. Some experts say the claim is misleading.,"Consumer egg prices have climbed 25 since January, data shows.","President Donald Trump this week disputed criticism over high egg prices in an exclusive interview with ABC News, faulting his predecessor for the price hike and claiming what he described as a recen 4656 chars",neutral,1
Expect to Pay More for These Groceries Because of Tariffs,We asked an an expert about which groceries will become more expensive or hard to find as a result of President Trump's tariffs and ongoing trade war.,"The scope of President Donald Trump's trade war changes by the day. Beyond sending the stock market into disarray and crushing consumer confidence back to 1980s levels, the tariffs are expected to in 6090 chars",negative,0
Celebrate ten years of The Witcher 3 by finally reading the books,"The Witcher 3 Wild Hunt celebrated ten years of monster slaying on May 19, and publisher CD Projekt honored the milestone with an anniversary stream starring Geralt voice actor Doug Cockle, a stunning new trailer, and The Witcher 3 price drops across platfor","The Witcher 3 Wild Hunt celebrated ten years of monster slaying on May 19, and publisher CD Projekt honored the milestone with an anniversary stream starring Geralt voice actor Doug Cockle, a stunni 3548 chars",negative,0
'Why is fuel in my town 10p more than the areas next door?',Motorists in the seaside town say they prefer to drive to neighbouring areas to fill up their tanks.,Emily JohnsonReporting from Scarborough Driving instructor Nigel Brown wants fuel prices in Scarborough to be brought in line with those in Whitby and Bridlington Fuel prices can be affected by a 5683 chars,neutral,1
"Fees have risen more than government predicted, private schools say",The Independent School Council says private school fees increased by 22.6 in January compared to a year ago.,Vanessa Clarke and Kate McGough Phil Leake The average cost of a place at a private school has increased by 22.6 in the last year more than government estimates after the introduction of VAT on fe 5404 chars,positive,2
Nutrition startup Nourish lands over 1 billion valuation after Series B funding from JP Morgan Growth Equity,"The virtual nutrition care startup just raised a 70 million Series B funding round, and it's profitable, BI has learned exclusively.","The Nourish cofounding team Sam Perkins, Stephanie Liu, and Aidan Dewar.Nourish Nourish just raised 70 million in Series B funding led by JP Morgan Growth Equity Partners.Nourish 5952 chars",positive,2
Celebrate ten years of The Witcher 3 by finally reading the books,"The Witcher 3 Wild Hunt celebrated ten years of monster slaying on May 19, and publisher CD Projekt honored the milestone with an anniversary stream starring Geralt voice actor Doug Cockle, a stunning new trailer, and The Witcher 3 price drops across platfor","The Witcher 3 Wild Hunt celebrated ten years of monster slaying on May 19, and publisher CD Projekt honored the milestone with an anniversary stream starring Geralt voice actor Doug Cockle, a stunni 3548 chars",negative,0
"Gold is booming but how safe is it for investors, really?","Trade wars and volatile markets have contributed to a gold rush, but investors shouldn't put all their eggs in this one basket, warn experts","Listen to Theo read this article ""What you have there is about 250,000 worth of gold,"" Emma Siebenborn says as she shows me a faded plastic tub filled with old, shabby jewellery rings, charm brac 12550 chars",neutral,1
RegulationBoosting Bills Pending In Both Blue And Red States,DC isnt the only place where regulatory burdenboosting policy proposals are garnering bipartisan support. The same phenomenon is on display in a few statehouses.,Regulatory burdenboosting bills are now under consideration in blue and red states. getty The tide of populism has risen to the extent that a vocal minority of GOP politicians and pundits have be 9992 chars,neutral,1
"A Stylish 2,000YearOld Roman Shoe Found in a Well","When the Romans pushed their way north into the German provinces, they built circa 90 AD the Saalburg, a fort that protected the boundary between the Roman Empire and the Germanic tribal territories. At its peak, 2,000 people lived in the fort and the attac","When the Romans pushed their way north into the German provinces, they built circa 90 AD the Saalburg, a fort that protected the boundary between the Roman Empire and the Germanic tribal t 2364 chars",neutral,1
